,Serial,Name,IMEI,Item,Time,Price,CGST,SGST,Round Off,Total
0,70740,Nerurkar Mukopadhyay,867555052196438,Redmi 9A 3GB 32GB,10-10-2020,7500,675.0,675.0,0.0,8850.0
1,77484,Taksa Kumar,862851050440414,Redmi 9A 32GB 2GB,10-10-2020,7000,630.0,630.0,0.0,8260.0
2,67340,Yateen Rabgyal,862851050447211,Redmi 9A 32GB 2GB,10-10-2020,7000,630.0,630.0,0.0,8260.0
3,76259,Manavi Rabten,862851050251118,Redmi 9A 32GB 2GB,10-10-2020,7000,630.0,630.0,0.0,8260.0
4,69427,Venu Khan,867250052667162,Redmi 4GB 64GB 9 Prime,10-10-2020,10000,900.0,900.0,0.0,11800.0
5,75655,Kommana Tenzin,862851050066284,Redmi 9A 32GB 2GB,10-10-2020,7000,630.0,630.0,0.0,8260.0
6,62516,Venugopal Sangyal,863685053528331,Redmi 4GB 64GB 9,10-10-2020,9000,810.0,810.0,0.0,10620.0
7,75595,Vishnuraman Desai,867250051819160,Redmi 4GB 64GB 9 Prime,10-10-2020,10000,900.0,900.0,0.0,11800.0
8,72242,Chirimar Powar,867250051741422,Redmi 4GB 64GB 9 Prime,10-10-2020,10000,900.0,900.0,0.0,11800.0
9,70031,Priyadarshini Shroff,867250051822321,Redmi 4GB 64GB 9 Prime,10-10-2020,10000,900.0,900.0,0.0,11800.0
10,67578,Parthathy Jangchup,865528050763394,Redmi Note 9 Pro Max 6GB 128GB,10-10-2020,18500,1665.0,1665.0,0.0,21830.0
11,54396,Jignesh Saxena,865528052758491,Redmi 64GB Note 9 Pro Max 6GB,10-10-2020,17000,1530.0,1530.0,0.0,20060.0
12,63037,Vidyarthi Tsomo,863349042770419,Redmi 3GB 64GB 8A Dual,11-10-2020,9000,810.0,810.0,0.0,10620.0
13,63395,Shraddha Parekh,861258044157206,Redmi 4GB 64GB Note 9,11-10-2020,12000,1080.0,1080.0,0.0,14160.0
14,59309,Suchin Jorden,860669055849930,Redmi 32GB 2GB 8A Dual,11-10-2020,7500,675.0,675.0,0.0,8850.0
15,75339,Mudhol Banerjee,865447043114013,Redmi 64GB Note 9 Pro Max 6GB,11-10-2020,17000,1530.0,1530.0,0.0,20060.0
16,68282,Rajan Doshi,860162057737444,Redmi 32GB 2GB 8A Dual,11-10-2020,7500,675.0,675.0,0.0,8850.0
17,62976,Vittal Sinha,866320041334512,4GB 64GB Mi A3,11-10-2020,13000,1170.0,1170.0,0.0,15340.0
18,73032,Swami Barua,867555052567398,Redmi 9A 3GB 32GB,11-10-2020,7500,675.0,675.0,0.0,8850.0
19,65446,Raghavendran Jangchup,862024054669137,Redmi 4GB Note 9 128GB,11-10-2020,13500,1215.0,1215.0,0.0,15930.0
20,69147,Viswanathan Yadav,863685054424670,Redmi 4GB 64GB 9,12-10-2020,9000,810.0,810.0,0.0,10620.0
21,56614,Indrani Gain,862024058572410,Redmi Note 9 6GB 128GB,12-10-2020,15000,1350.0,1350.0,0.0,17700.0
22,79380,Rajasimha Pillai,863685054426451,Redmi 4GB 64GB 9,12-10-2020,9000,810.0,810.0,0.0,10620.0
23,79310,Yateen Reddy,867555052224255,Redmi 9A 3GB 32GB,12-10-2020,7500,675.0,675.0,0.0,8850.0
24,55537,Chella Kapur,865528050605975,Redmi Note 9 Pro Max 6GB 128GB,12-10-2020,18500,1665.0,1665.0,0.0,21830.0
25,72851,Vaidhyanathan Tashi,867250052669341,Redmi 4GB 64GB 9 Prime,12-10-2020,10000,900.0,900.0,0.0,11800.0
26,63837,Ogale Jayaraman,867555051422413,Redmi 9A 3GB 32GB,12-10-2020,7500,675.0,675.0,0.0,8850.0
27,72500,Palanirajan Lhamo,867555051348139,Redmi 9A 3GB 32GB,13-10-2020,7500,675.0,675.0,0.0,8850.0
28,61841,Chhachhi Soni,867555051816473,Redmi 9A 3GB 32GB,13-10-2020,7500,675.0,675.0,0.0,8850.0
29,63093,Malipeddi Pema,867936046724545,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
30,77320,Sambandan Pillai,867936046829948,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
31,51865,Sidda Bhanushali,867936046832488,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
32,69743,Palanisamy Dasgupta,867936046716087,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
33,56521,Meghana Prasad,867936046849706,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
34,52542,Mangeshkar Choudhary,867936046826803,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
35,79206,Subhaga Kapoor,867936046825144,Redmi 4GB 128GB 9i,13-10-2020,9300,837.0,837.0,-4.0,10974.0
36,61252,Seshadri Chattopadhyay,868448043460312,Redmi Note 9 Pro Max 6GB 128GB,13-10-2020,18500,1665.0,1665.0,0.0,21830.0
37,51096,Amra Tambe,865528050760713,Redmi Note 9 Pro Max 6GB 128GB,13-10-2020,18500,1665.0,1665.0,0.0,21830.0
38,79977,Narasimhan Barua,865528050691298,Redmi Note 9 Pro Max 6GB 128GB,13-10-2020,18500,1665.0,1665.0,0.0,21830.0
39,67180,Saji Bhagawati,864391040047357,Redmi 4GB Note 9 128GB,13-10-2020,13500,1215.0,1215.0,0.0,15930.0
40,58882,Konkipudi Pema,864391040147835,Redmi 4GB Note 9 128GB,13-10-2020,13500,1215.0,1215.0,0.0,15930.0
41,64139,Chellappan Balasubramanium,864391040137315,Redmi 4GB Note 9 128GB,13-10-2020,13500,1215.0,1215.0,0.0,15930.0
42,65663,Niral Sengupta,864391040134031,Redmi 4GB Note 9 128GB,13-10-2020,13500,1215.0,1215.0,0.0,15930.0
43,76550,Malti Bhattacharjee,862024054464174,Redmi 4GB Note 9 128GB,13-10-2020,13500,1215.0,1215.0,0.0,15930.0
44,79189,Manesh Prasad,860862046002731,Redmi 4GB Note 9 128GB,14-10-2020,13500,1215.0,1215.0,0.0,15930.0
45,55113,Mirchandani Chowdary,867473040779978,Redmi 3GB 64GB 8A Dual,14-10-2020,9000,810.0,810.0,0.0,10620.0
46,75617,Sompalli Yangkey,863685054420512,Redmi 4GB 64GB 9,14-10-2020,9000,810.0,810.0,0.0,10620.0
47,60835,Shirish Mistry,867555052232118,Redmi 9A 3GB 32GB,14-10-2020,7500,675.0,675.0,0.0,8850.0
48,77847,Raghuram Achari,862024054688418,Redmi 4GB Note 9 128GB,14-10-2020,13500,1215.0,1215.0,0.0,15930.0
49,68984,Nihar Tambe,863118044603096,Redmi 4GB 64GB Note 9 Pro,14-10-2020,14000,1260.0,1260.0,0.0,16520.0
50,58613,Ravipati Raju,867936046836547,Redmi 4GB 128GB 9i,14-10-2020,9300,837.0,837.0,-4.0,10974.0
51,78494,Vivatma Jani,867936046671464,Redmi 4GB 128GB 9i,14-10-2020,9300,837.0,837.0,-4.0,10974.0
52,76327,Kalirai Mehta,867936046802689,Redmi 4GB 128GB 9i,14-10-2020,9300,837.0,837.0,-4.0,10974.0
53,69935,Gajraj Dhundup,867936046793623,Redmi 4GB 128GB 9i,14-10-2020,9300,837.0,837.0,-4.0,10974.0
54,65110,Sethi Chavan,867936046803687,Redmi 4GB 128GB 9i,14-10-2020,9300,837.0,837.0,-4.0,10974.0
55,65114,Ganapathiraman Sen,862024059141553,Redmi 4GB Note 9 128GB,14-10-2020,13500,1215.0,1215.0,0.0,15930.0
56,60775,Pallavan Sengupta,864391040113811,Redmi 4GB Note 9 128GB,14-10-2020,13500,1215.0,1215.0,0.0,15930.0
57,64492,Sompalli Sangyal,862024054691354,Redmi 4GB Note 9 128GB,14-10-2020,13500,1215.0,1215.0,0.0,15930.0
58,77083,Datla Chowdary,868918047461706,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
59,75148,Mayekar Powar,867555051750631,Redmi 9A 3GB 32GB,15-10-2020,7500,675.0,675.0,0.0,8850.0
60,73626,Chandramouli Pawar,868918047205145,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
61,71426,Sraddha Tashi,868918046800508,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
62,53045,Sadasivam Patel,868918046823401,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
63,68927,Vineet Yadav,868918047436047,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
64,52484,Mahatma Sangyal,868918046850206,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
65,56058,Lahiri Tambe,868918047243047,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
66,68885,Daryapurkar Chauhan,868918047238781,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
67,64338,Omarjeet Rangarajan,868918047277748,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
68,57006,Sanigepalli Patil,868918048800423,Redmi 4GB 9 128GB Prime,15-10-2020,12000,1080.0,1080.0,0.0,14160.0
69,75285,Hament Ahir,865447042197217,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
70,68579,Krishnamurthy Rao,868448044402651,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
71,76541,Prasai Gupta,865447042415551,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
72,72452,Nadkarni Namgyal,865447042730595,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
73,65784,Sadhwani Soni,868448044350835,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
74,55177,Senapati Chowdary,868448044330159,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
75,77450,Nageshwara Lhamo,865447042435955,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
76,52334,Saji Jani,868448044742296,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
77,52630,Nishit Khan,865447042855350,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
78,54023,Seri Singh,865447042603990,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
79,73801,Khot Namgyal,862024058474310,Redmi Note 9 6GB 128GB,15-10-2020,15000,1350.0,1350.0,0.0,17700.0
80,50747,Nartana Singh,865528050093651,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
81,62428,Shruti Nayar,865528050693914,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
82,79720,Pulavarti Shroff,868448044379834,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
83,60969,Namrata Ghoshal,868448044342378,Redmi Note 9 Pro Max 6GB 128GB,15-10-2020,18500,1665.0,1665.0,0.0,21830.0
84,73628,Mondem Gavde,860162055825431,Redmi 32GB 2GB 8A Dual,16-10-2020,7500,675.0,675.0,0.0,8850.0
85,61567,Mallikarjun Bhakta,867250051884909,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
86,62789,Sara Ghoshal,867250051816505,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
87,64594,Baboor Lhamo,867250051889841,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
88,55835,Parnita Dutta,867250051262841,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
89,77485,Gaekwad Yangkey,867250052674663,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
90,61322,Ramanujam Jha,867250051892340,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
91,60425,Sourajyoti Parekh,864391042798197,Redmi 4GB 64GB Note 9,16-10-2020,12000,1080.0,1080.0,0.0,14160.0
92,64404,Jannavi Tsomo,867250051805029,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
93,70305,Manasi Paswan,867555051764673,Redmi 9A 3GB 32GB,16-10-2020,7500,675.0,675.0,0.0,8850.0
94,56483,Visvakarman Passang,864391043034774,Redmi 4GB 64GB Note 9,16-10-2020,12000,1080.0,1080.0,0.0,14160.0
95,64322,Sarasvati Kadam,867250051799305,Redmi 4GB 64GB 9 Prime,16-10-2020,10000,900.0,900.0,0.0,11800.0
96,71471,Pummy Chauhan,862024059248259,Redmi 4GB Note 9 128GB,16-10-2020,13500,1215.0,1215.0,0.0,15930.0
97,60082,Ulind Naidu,862024058504090,Redmi 4GB Note 9 128GB,16-10-2020,13500,1215.0,1215.0,0.0,15930.0
98,71965,Khursh Jayaraman,867555051584410,Redmi 9A 3GB 32GB,16-10-2020,7500,675.0,675.0,0.0,8850.0
99,74518,Chandan Dhundup,864391043097672,Redmi 4GB 64GB Note 9,17-10-2020,12000,1080.0,1080.0,0.0,14160.0
